mtime,AB,AD,AG,AM,BJ,BR,CF,CK,CM,CV,CX,DE,EP,F,FI,FP,FR,GK,GR,HQ,HT,HV,IY,J,JQ,JS,KP,LT,LV,LY,MT,OT,QX,RY,SU
2021-11-01T00:00,7097148,8395585,9444007,8411245,6693731,7825937,7197160,7183646,5613403,7597419,6690499,4947830,7699085,7838559,7969199,7352017,7595401,7256434,5733874,6788027,7418275,8173971,8731048,8462967,7461513,6535002,5318764,5952926,8211276,8278291,6830877,7960055,7498330,5886839,4856816
2021-11-01T00:05,5610204,7379148,5785388,5573990,5607728,5886569,7100657,8669753,8636228,6101150,8617308,6051632,6012143,7495440,6387951,8732754,7021653,7463362,6974325,7371960,5495879,8384164,7326989,7265534,5618856,6410732,7125424,7016876,6935638,4970121,6659898,6871803,6160858,7774063,8054828
2021-11-01T00:10,5909385,7622381,8164890,7465222,8915367,8836556,6737485,6739074,9032341,7439496,7324858,9236699,6244499,5543748,8487154,6840873,7723040,6154602,7651843,8161279,7127768,8046568,7762500,9838515,7476630,5593960,7335615,7019879,6983662,8611839,5737921,6263240,7757322,7297822,8214517
2021-11-01T00:15,5989276,7256421,9403938,6083650,8119687,10161019,7707310,7355639,5854529,8083793,8174984,6565122,6113832,7504219,6765666,6337177,6678123,6863222,5362221,8813675,6886472,8211350,9899129,8073525,6568562,8171927,7710029,8006364,5469391,6428882,7346653,7443244,8519897,7391467,8185858
2021-11-01T00:20,10348096,7240493,6806983,6025772,6818486,6749453,7802954,9061556,8203012,8272104,8248735,6270287,6589374,6773107,7206186,7740512,7153297,5540667,8931499,7643655,6774049,9703428,8229227,7028163,8119860,6529595,7151882,6636647,7359711,6614164,8142118,8596735,6015879,7476311,7509944
2021-11-01T00:25,8782032,7712749,5832234,7190622,7284503,7461811,9417616,9808637,7047229,6204463,6739869,7128132,7037714,7035762,6287582,6556528,6521873,6503223,7491843,5976931,7061079,6460161,6738632,6930597,7102916,5363579,7025697,7966126,8500332,7088847,6961581,7009762,7077693,6733590,7020782
2021-11-01T00:30,6381259,7873517,7246380,8469228,6739441,7215046,7759998,7938352,7880251,7523300,7157077,6899266,5551492,6351870,9755638,7063173,7993759,7626793,9062227,6953638,7247320,7038790,7541627,7235318,7730515,7366511,6715268,6946071,7964288,5385632,8180164,7042919,6194955,8284968,6626146
2021-11-01T00:35,8473182,6508087,8287772,5554227,7716670,7611397,8999968,7359582,7014328,7764636,7339200,7640302,6364760,6392260,7527173,9390271,6882781,6045187,6498987,6695557,7491210,7339952,8520272,7051482,6499967,8013974,5127365,9209727,7162570,7932673,8685915,8340705,9045091,6338939,6692001
2021-11-01T00:40,6445557,8761762,7462296,5977542,7896893,9199338,7160184,7493774,9056450,5421798,7007872,7351029,9081069,8695343,10580578,6395043,8021636,7565272,7767894,7630755,6261563,5548507,6196972,7255998,9270996,7509903,7863918,5176875,8310599,5514305,6219704,8881629,8364007,7250904,6702096
2021-11-01T00:45,7579606,8253168,5581446,8896020,7301497,7878383,8086958,7286981,7119262,6088227,8223234,6234948,6833587,7224241,5980282,8463763,8564941,6857732,5881782,7586364,5527503,7458584,7756494,8848113,6725384,9495172,7825812,6486698,9058884,7747221,6261258,7584021,8042047,6735240,9681921
2021-11-01T00:50,7731100,6187090,7012950,7825799,6251985,7072673,7246548,8888705,8112665,6484142,8191080,8815017,6433442,7671040,6684257,7375958,7847508,9097400,8247635,8246200,8107759,6924182,7613240,8283929,4776789,9433920,5960072,5853758,6360505,9028299,6965518,7050420,7471121,6259984,7672888
2021-11-01T00:55,8799211,7883815,8117972,9782673,9522199,6467186,7636026,8335388,6490243,5511310,7715873,6948073,8103192,5584975,9657155,9046738,5991594,7600917,8116087,8261586,9039035,8370020,7668689,6889230,8434417,7309105,5441490,6570071,6429626,9479521,6764326,7634984,5866658,7081179,6066569
2021-11-01T01:00,7139170,6376171,6665862,8705185,7114231,7239406,5224876,6701263,6290730,7764960,7425274,6989739,7530565,7371232,7308673,8401155,8831715,9481046,6578189,8234717,7322211,6430729,7097700,9385010,6427380,8573818,5510477,6425597,7646967,9489556,5493164,6461893,6291016,7443541,5523734
2021-11-01T01:05,7576568,9355155,7638972,7473660,6295015,6252749,7780875,6398509,6955198,6979873,6656193,6481650,5647237,8570888,7235027,9977862,9697440,6035450,7142318,8526367,7100490,6731602,7442906,6534066,6763843,8414661,8355543,9147435,7862526,7082620,5660047,6781314,7659196,8184079,8373312
2021-11-01T01:10,6749594,7631481,7433918,7191031,7419744,7331313,8160199,9601064,8930877,6289990,9112831,7809135,7098904,6564008,7566145,9022096,6934829,7725369,6385888,6519953,6872124,5454913,6824050,7137549,6693992,7058624,6852657,7232259,6646660,6448561,7128066,8710628,7460487,6814457,7050022
2021-11-01T01:15,7756756,7061183,6000734,6980802,8722011,6952197,8011329,7458607,7367579,8489211,5910168,9232735,7607685,7601097,6986114,7380585,7554060,5720597,6644005,7263119,7799970,7325169,6006151,8224256,7282209,6659640,6654781,6917568,8153416,6649685,5757564,6909959,7036637,7727448,8102180
2021-11-01T01:20,6485872,6767891,7373161,7432066,5853848,7119197,7717053,7183765,8261688,8329496,6200114,5767737,6926092,6162621,6734701,7234047,8412441,5807490,7585615,8554891,5814033,7383198,7373978,6913462,5849601,9708170,7401191,7991737,7547316,6972848,8392630,8953111,9380445,7342441,8283508
2021-11-01T01:25,7028995,6700382,7506451,6964645,8782058,8272035,6512661,6355548,5367310,8444274,6594786,6566345,6560588,6730654,7099287,6253403,7215112,7877529,7586168,5855041,5951187,8005925,6976760,6334405,9657217,7779354,8718199,7926992,7084572,7468418,6938195,5762842,8623256,9485269,7213599
